id,label,interval,importance,eccentricity,closeness_centrality,harmonic_closeness,betweenness
1.47329432980432E+018,Walterakam,,16.9466509766763,1,1,1,605
1.52374620872397E+018,Mosolchi,,15.9824795742858,1,1,1,17
1.62485829706395E+018,kingmidasekhar,,4.38201036685137,1,1,1,0
1.16376033100239E+018,IDFFarsi,,14.2450289745874,1,1,1,46.75
1.49846536068053E+018,Animebazi,,4.21566930192845,1,1,1,0
1.56830375311514E+018,HiwaTube,,18.9762523260514,2,0.77341873498799,0.85351966873706,7845.08333333333
1.1120252638509E+018,HananyaPersian,,13.7938549669953,2,0.705882352941176,0.791666666666667,30.9166666666667
1.67621334406202E+018,agha_rashti2,,19.0653212078924,3,0.572614107883817,0.62888198757764,9750.66666666667
1.27189286508237E+018,azaadiiyeiraan7,,11.2096705312073,4,0.429618001046573,0.543645960211119,5640.25
1.58976747834703E+018,H3ngam3h_h,,15.0798393431014,4,0.414855987872663,0.576701854107456,9186.66666666667
8.93757772025799E+017,YaarDabestaani,,17.5623450467731,4,0.409148665819568,0.486973775017248,2518.08333333333
23231946,mobarez_nastooh,,12.0806602554264,4,0.402424716464607,0.451409135082599,3326.25
719596352,hamiparvane,,9.21451936657446,5,0.400847073060051,0.482201257861634,0
518692321,farcrit,,11.3688791719952,5,0.384310393656188,0.49295627609924,0
8.74330245037527E+017,VidaSarafraz,,17.3756448608631,4,0.374854481955763,0.404761904761901,690
1.77127700643861E+018,IspahbadhSina,,12.4015622819483,4,0.348932436384908,0.455713886560491,0
50599149,M005h00,,9.32998691237841,5,0.329586511441188,0.41777642441468,1156.83333333333
1.61889743519921E+018,Redrighthand89,,4.43721162917246,5,0.316107585373225,0.397163798597832,0
1.71224335520198E+018,tannaz13131313,,12.3466626849486,5,0.301173881144534,0.334118283935582,3241.91666666667
1.4658434767807E+018,5arhang,,5.72287724630763,5,0.300219405168211,0.362748680470976,131.416666666667
9.08580919132459E+017,cryptosamz,,14.1871037778523,5,0.299416484318016,0.366707267559893,3127.16666666667
1.58248244839012E+018,ZZANewspaper,,1,0,0,0,0
1.67769864527201E+018,zz_4bol,,1,0,0,0,0
1.57666740571092E+018,ZTEAM1401,,1,0,0,0,0
1.63986933222516E+018,ZSepitman28891,,1,0,0,0,0
1.10725616643282E+018,ZoroastersChild,,1,0,0,0,0
1.73274504942162E+018,zootoxiic,,1,0,0,0,0
1.44173934862647E+018,zootopiazz,,1,0,0,0,0
1.44513791867108E+018,zobeyd_e_akani,,1,0,0,0,0
7.29966282188149E+017,znbrahimi,,1,0,0,0,0
1.598614095972E+018,Ziya_Sadr,,1,0,0,0,0
1.09088894800674E+018,Zir_O_Rou,,1,0,0,0,0
1600278877,ZinMarAungNUG,,1,0,0,0,0
1.69765766881332E+018,zikaavi,,1,0,0,0,0
9.89801651333722E+017,ZiaNabavi1,,1,0,0,0,0
9.75494625095029E+017,zhiyan_shah,,1,0,0,0,0
1.13292810673644E+018,zhina2019,,1,0,0,0,0
1.18027321779517E+018,Zeighamii,,1,0,0,0,0
1.57198829384733E+018,Zeidebastami,,1,0,0,0,0
1.51810415167421E+018,ZechariahSharab,,1,0,0,0,0
2598011401,Zebr4a,,1,0,0,0,0
1.59432638941048E+018,zeberry3,,1,0,0,0,0
1.57740776088263E+018,zazzanone,,1,0,0,0,0
3391156168,zargar1982,,1,0,0,0,0
1.24470139400898E+018,zarei_arad,,1,0,0,0,0
1.58310081167202E+018,Zapatacousin,,1,0,0,0,0
8.83008422089826E+017,zanzanza6789,,1,0,0,0,0
1.64674387409264E+018,ZanoZohal82418,,1,0,0,0,0
1.5787783811178E+018,zane_azadeh1,,1,0,0,0,0
1.72152110895905E+018,zamiin_gerdeh,,1,0,0,0,0
1.57336058089505E+018,Zalzalak15,,1,0,0,0,0
1.59023311676503E+018,ZakMountain1,,1,0,0,0,0
1.66212076573345E+018,zaki_manso29417,,1,0,0,0,0
1.54130761788828E+018,Zakhvanetti,,1,0,0,0,0
1.34381599478823E+018,Zakhe93,,1,0,0,0,0
614783844,zakaHQ,,1,0,0,0,0
2778437004,zahraa_hajii,,1,0,0,0,0
736855813,ZahaakMardoosh,,1,0,0,0,0
1.29968767144324E+018,ZafarHeretic,,1,0,0,0,0
1.64753698208652E+018,z_tondro,,1,0,0,0,0
1.21864087741919E+018,yYh8x5hC6nxh1Wd,,1,0,0,0,0
1.63721750568805E+018,yutab_2023,,1,0,0,0,0
4799185575,ysabellahazan,,1,0,0,0,0
1.57386787443062E+018,yousef34095102,,1,0,0,0,0
1201904378,YourBelovedDude,,1,0,0,0,0
7.48962728333554E+017,young_sheldon1,,1,0,0,0,0
348732757,YossiGoldstein8,,1,0,0,0,0
1.66489669031734E+018,Yoo12212,,1,0,0,0,0
17877490,yoavkaufman,,1,0,0,0,0
8.24933986560573E+017,yoavgallant,,1,0,0,0,0
1.68132784262415E+018,Yn3082,,1,0,0,0,0
63273943,YLShyn,,1,0,0,0,0
7.22757627877335E+017,YeOne_Rhie,,1,0,0,0,0
3296026530,YEKIazYEKI,,1,0,0,0,0
1.50215275888702E+018,ybensnkr888,,1,0,0,0,0
1.6121186042075E+018,Yavarmoshirfar,,1,0,0,0,0
47731642,yatok,,1,0,0,0,0
1.40076672233294E+018,yassfid7750,,1,0,0,0,0
1.76398058158127E+018,Yasna25iran,,1,0,0,0,0
7.3704925036682E+017,YasMohammedxx,,1,0,0,0,0
1.63827210516184E+018,YasiPatriot,,1,0,0,0,0
1.59188205869934E+018,yasi_rahimi,,1,0,0,0,0
11744152,yashar,,1,0,0,0,0
1.66855372792866E+018,Yaser_Akhtari,,1,0,0,0,0
1.75920097590086E+018,YasamanKhodajo,,1,0,0,0,0
8.68904778042135E+017,yarrahimehdi,,1,0,0,0,0
634339745,Yampeleg,,1,0,0,0,0
9.45912853197865E+017,YaldaRod,,1,0,0,0,0
1.26516900656402E+018,Yakhbandane,,1,0,0,0,0
2946300174,yairlapid,,1,0,0,0,0
972611156,yaamaashitaa,,1,0,0,0,0
8.77998693202485E+017,yaaKar1m,,1,0,0,0,0
7.05854130896704E+017,Y0L0ISM,,1,0,0,0,0
1.62075417975607E+018,xxxwwwji,,1,0,0,0,0
1.33420498768613E+018,Xman1Simon,,1,0,0,0,0
1.66049551436478E+018,XLOG4RX,,1,0,0,0,0
1.69638986968855E+018,XkbarX,,1,0,0,0,0
1.22183259009475E+018,XiyueWang9,,1,0,0,0,0
1.63186832843523E+018,XerxesIran_,,1,0,0,0,0
1.30631130359876E+018,XAVIAERD,,1,0,0,0,0
1.4453292979175E+018,X4LIREZ4X,,1,0,0,0,0
1.59753119983193E+018,WydhDrby,,1,0,0,0,0
1.43956631855499E+018,ww3_persia,,1,0,0,0,0
1.7136738811715E+018,wrdstn1136156,,1,0,0,0,0
6890412,WorriedEric,,1,0,0,0,0
1.59428165415938E+018,WorldByWolf,,1,0,0,0,0
1.52695672417497E+018,WolfTrump2024,,1,0,0,0,0
557396412,wolf_sea_,,1,0,0,0,0
1.63115896409946E+018,WokelyCorrect,,1,0,0,0,0
1.53489190744005E+018,wojakhouseman,,1,0,0,0,0
1.51212845754271E+018,WoaxRey,,1,0,0,0,0
1.67335571032182E+018,wntrintel,,1,0,0,0,0
1.55266888377301E+018,wlfnobody,,1,0,0,0,0
9.92124138356707E+017,with_a_pear,,1,0,0,0,0
1.65910426845515E+018,wirgol_,,1,0,0,0,0
1.39074611728602E+018,winstoon3,,1,0,0,0,0
1.23253782709685E+018,windymileer,,1,0,0,0,0
1.69123048908698E+018,wilson293364,,1,0,0,0,0
918412532,whoisfarhad,,1,0,0,0,0
1.20193372875225E+018,wheeee71,,1,0,0,0,0
1.7109692212014E+018,whatthefawz,,1,0,0,0,0
1.69654862612473E+018,Welamkondige,,1,0,0,0,0
