Id,K-Shell
1.00572974301314E+018,6
1.24308847922491E+018,24
1.33606128397264E+018,16
1.48883581211244E+018,24
1.52471691031892E+018,19
1.55672065763489E+018,16
7.72457957829317E+017,24
1.00581115197495E+018,1
1.00586042576915E+018,1
1.00601309589281E+018,1
1.00620806241436E+018,3
9.90463245914866E+017,7
1.00636313784148E+018,1
1.20185571443368E+018,3
1006589239,11
1.24944305398877E+018,24
1.36037819673105E+018,17
1.57037824249394E+018,20
1.58715518172833E+018,6
1.63866906024108E+018,22
1.67621334406202E+018,24
1.67948467030265E+018,16
252007838,3
407476218,11
8.07182914651877E+017,3
9.46806590249849E+017,10
1.00666051250611E+018,1
1.57893785704506E+018,1
1.0067777035409E+018,1
1.80613709884965E+018,15
1006814647,1
1.79265046845734E+018,1
1.00703878787521E+018,2
1.18885868014766E+018,3
1.39387209385978E+018,1
3159341148,2
1.00718805186349E+018,1
1.00770197651009E+018,3
1.5091836315579E+018,22
1.00772082200867E+018,1
1.00828628083119E+018,1
9.00039852334473E+017,11
1.0083296182256E+018,29
1.09167735997822E+018,2
1.09462093055752E+018,29
1.13340007799997E+018,14
1.16272285175511E+018,27
1.19363442000099E+018,27
1.19609985372359E+018,23
1.25284557961012E+018,27
1.30031200659619E+018,25
1.30191793634139E+018,18
1.30612510310994E+018,27
1.33014143627737E+018,16
1.33922845565374E+018,27
1.34183577047106E+018,27
1.34223036747084E+018,29
1.39348216043104E+018,16
1.42950511501534E+018,29
1.47194246707542E+018,29
1.59361234081309E+018,27
1.60631384248458E+018,17
1.6246823333946E+018,29
1.6432804154011E+018,26
1.6538887944861E+018,29
1.65448325551136E+018,26
1.66780263090984E+018,29
1.67079025038012E+018,29
1.71503723330288E+018,29
1.72635821872354E+018,29
1.74220136021116E+018,29
1.81575357943033E+018,29
1.82336821090281E+018,24
2190511766,21
2457989330,16
565583319,11
8.05172233131979E+017,26
8.39182718915207E+017,27
8.53870397820781E+017,16
8.5460525259871E+017,29
8.55701996753609E+017,11
8.57265253876421E+017,26
8.6970348347322E+017,20
874571502,29
9.61893605962015E+017,29
9.72896707662045E+017,23
9.9788549322333E+017,14
1.00842473272997E+018,9
1408312021,22
1.58541344300752E+018,11
1.58813834529665E+018,24
1.6044116305903E+018,6
1.64008951593841E+018,11
1.66004920256977E+018,23
1.00873856234552E+018,1
1.58158215268845E+018,1
1.00880334334142E+018,8
1.8146619651863E+018,22
8.44306698399551E+017,24
9.4025879016677E+017,15
1.0089571667352E+018,6
1.6953869623062E+018,29
1009357110,13
1.5856916038674E+018,17
1.009540871145E+018,4
1.50202295137746E+018,24
3277777062,1
1.00954114054937E+018,1
1.01045321015754E+018,5
1.64281457076197E+018,23
1.0106391458558E+018,23
1.05915158284197E+018,10
1.21659613063866E+018,20
1.37650581131325E+018,21
1.41341575627291E+018,6
1.57337226761415E+018,24
1.57412345216801E+018,17
1.59542412454488E+018,3
1.61552766057411E+018,7
1.62321835428988E+018,23
1.63128871632816E+018,20
1.64183814614381E+018,3
1.73729809274599E+018,18
1.76935336101743E+018,4
1.77659002671483E+018,24
1.80301043175521E+018,24
572238998,12
7.27256248308109E+017,11
785651905,12
8.297339194991E+017,9
1.01103964416577E+018,7
1.07589364327222E+018,23
1.09209453837677E+018,24
1.21413327780137E+018,15
1.35161230432487E+018,19
1.52946671933245E+018,24
1.54314784168568E+018,1
1.7457659739095E+018,24
1.75648188102806E+018,24
1011096180,1
1.01118826107787E+018,1
1.01119459042941E+018,2
1.01242126411864E+018,1
1.01262145207873E+018,1
1012625798,6
1.3461499310238E+018,24
2233404235,24
8.15188996297003E+017,18
1.01286609311389E+018,4
1.02243548537178E+018,24
1.28948934030181E+018,11
1.53874930816986E+018,13
1.01300850678037E+018,8
1.71199611869797E+018,24
1.01311323543485E+018,2
1.59503362343828E+018,22
1.01361545595576E+018,19
1226703542,22
